Ideal Label,Sentence,Base Model Token Value,"Имеет смысл? 0, 0.5, 1",Fine-tuned Model Token Value,"Имеет смысл? 0, 0.5, 1",Лучше?,
камеру,человека посадили в [MASK],тюрьму,1,тюрьму,2,idk,
камень,[MASK] сломал автомобиль,Он,2,[UNK],2,idk,
хищник,[MASK] убежал от носорога,Слон,0.5,человек,2,idk,
граждан,власть ограничивала [MASK],?,1,граждан,2,idk,
больнице,врачи лечили человека в [MASK],больнице,1,больнице,2,idk,
человеком,боцман восхищался [MASK],.,1,кораблем,2,idk,
переносе,прокурор попросил суд о [MASK],наказании,2,[UNK],2,idk,
посадку,самолет совершил [MASK] из - за пассажира,посадку,1,посадку,2,idk,
работа,[MASK] заканчивалась,Игра,1,история,2,idk,
первым,родитель стал [MASK],.,2,[UNK],2,idk,
берег,капитан выбросил коробку на [MASK],пол,1,пол,2,idk,
деньги,[MASK] приходили на счет,Деньги,1,деньги,2,idk,
министерство,[MASK] подготовило проект,Правительство,1,министерство,2,idk,
специалист,[MASK] настаивал на возвращении,Он,1,адвокат,2,idk,
дело,[MASK] дошло в суд,Дело,1,дело,2,idk,
самолет,[MASK] находится в воздухе,Он,0.5,самолет,2,idk,
огромным,размер объекта был [MASK],.,1,большим,2,idk,
человек,[MASK] вел себя неадекватно,Он,1,человек,2,idk,
травму,пострадавшии получил [MASK],.,1,травму,2,idk,
тысячи,партия имеет [MASK],.,1,большинство,2,idk,
законопроект,депутаты рассмотрели [MASK],.,1,законопроект,2,idk,
парламент,[MASK] принял законопроект,Парламент,2,[UNK],2,idk,
предложения,разговор начинался с [MASK],.,1,вопроса,2,idk,
снег,за окном шел [MASK],.,1,дождь,2,idk,
берегу,корабль причалил к [MASK],берегу,1,берегу,2,idk,
ложью,полиция объявила информацию [MASK],.,1,ложной,2,idk,
[UNK],[MASK] отмыл платье,Я,2,человек,2,same,
человек,[MASK] выпил шампанское из бокала,Путин,1,человек,2,idk,
фильм,[MASK] собрал миллион за неделю,Он,1,фильм,2,idk,
информация,[MASK] была в ответе,Россия,1,россия,2,idk,
безопасностью,солдат следил за [MASK],мной,1,движением,2,idk,
суд,прокуратура обратилась в [MASK] с иском,суд,1,суд,2,idk,
девушка,[MASK] поделилась с другом снимком,Девушка,1,девушка,2,idk,
тысячи,[MASK] смотрели матч по телевизору,Мы,1,люди,2,idk,
представления,министерство просит у мид [MASK],.,2,[UNK],2,idk,
[UNK],щека вспыхнула румянцем от [MASK],смущения,2,смущения,2,same,
млрд,объем стал выше [MASK],.,1,метра,2,idk,
веселым,сын стал [MASK],.,1,взрослым,2,idk,
сезона,стоимость менялась от [MASK],производителя,2,[UNK],2,idk,
туманом,землю заволокло [MASK],.,1,дымом,2,idk,
работы,япония выполняла [MASK],.,1,работу,2,idk,
полиция,[MASK] искала преступника,Полиция,1,полиция,2,idk,
работа,[MASK] кипела,Работа,1,жизнь,2,idk,
вывод,ученыи сделал [MASK] по результатам,выводы,1,вывод,2,idk,
работа,[MASK] завершилась,Игра,1,встреча,2,idk,
захоронение,оператор отвечал за [MASK],безопасность,1,работу,2,idk,
заявлением,президент выступил с [MASK],обращением,1,заявлением,2,idk,
[UNK],[MASK] создал команду на полуострове,Путин,2,человек,2,same,
места,человек сорвался с [MASK],цепи,1,обрыва,2,idk,
война,[MASK] развернулась,Машина,0.5,история,2,idk,
человек,[MASK] публиковал информацию,Я,2,[UNK],2,idk,
высота,[MASK] была меньше метра,Глубина,1,глубина,2,idk,
ярусе,водитель думал о [MASK],другом,2,[UNK],2,idk,
переносом,суд согласился с [MASK],доводами,1,решением,2,idk,
дома,девушка убегает из [MASK] на берег,воды,1,дома,2,idk,
команда,[MASK] проиграла,И,0.5,команда,2,idk,
миллион,человек хотел [MASK] для освобождения,сбежать,2,[UNK],2,idk,
ситуации,россия оставалась в сложнои [MASK] из - за санкции,ситуации,1,ситуации,2,idk,
женщина,[MASK] рассказала про симптомы врачу,Я,1,женщина,2,idk,
мужчина,[MASK] лег на кушетку,Он,1,человек,2,idk,
ответ,человек озвучивал [MASK],.,1,мысль,2,idk,
[UNK],[MASK] была маленькои,Я,2,боль,2,same,
человек,[MASK] пустил немца во дворец,Царь,2,[UNK],2,idk,
убийстве,человек рассказал об [MASK] жене,этом,1,истории,2,idk,
человек,[MASK] использовал вещь,Я,1,человек,2,idk,
больницу,девушка пришла в [MASK],себя,1,сознание,2,idk,
массы,система устанавливала значение [MASK],.,2,[UNK],2,idk,
участник,[MASK] совершил преступление,Он,1,мужчина,2,idk,
министр,[MASK] встретился с участником для обсуждения,Я,1,лидер,2,idk,
человек,[MASK] ужинал,Я,1,человек,2,idk,
кустов,змея выползла из [MASK],норы,1,норы,2,idk,
компания,[MASK] принесла извинения,Я,1,компания,2,idk,
человек,[MASK] понял все о событии,Я,1,человек,2,idk,
ситуация,[MASK] происходила второи раз,Она,1,встреча,2,idk,
гроза,началась [MASK],.,1,война,2,idk,
звук,[MASK] становился противным,Он,1,голос,2,idk,
боли,больнои стонал от [MASK],меня,0.5,боли,2,idk,
вода,[MASK] уходила в песок,Вода,1,вода,2,idk,
риск,[MASK] появлялся,не,0,человек,2,idk,
комиссия,[MASK] назвала виновных,Прокуратура,1,компания,2,idk,
мошенничестве,компания получила информацию о [MASK],продаже,2,[UNK],2,idk,
действия,[MASK] началось,Все,1,обсуждение,2,idk,
министерство,[MASK] включило россию в список,WADA,1,агентство,2,idk,
девушка,[MASK] бросила взгляд на матерь,Я,2,[UNK],2,idk,
человек,[MASK] столкнулся с задачеи,Я,1,человек,2,idk,
площадка,[MASK] стала аренои чего - то,Она,1,компания,2,idk,
человек,[MASK] бросил кошку,Он,1,человек,2,idk,
информация,[MASK] была в сообщении,Новость,1,информация,2,idk,
истец,[MASK] требовал компенсации от защитника,Футболист,0.5,истец,2,idk,
группировку,компания обвинила [MASK] в чем - то,его,2,[UNK],2,idk,
разговору,бармен прислушивался к [MASK],происходящему,0.5,разговору,2,idk,
победителя,суд выбрал [MASK],.,1,вариант,2,idk,
пол,человек постелил бумагу на [MASK],стол,1,пол,2,idk,
тысячи,[MASK] приехали на форум для борьбы,Они,1,люди,2,idk,
развитию,правительство помогало [MASK],.,1,россии,2,idk,
человека,следствие проверяло [MASK],.,1,версию,2,idk,
[UNK],процессы мешали [MASK],.,2,[UNK],2,same,
труба,[MASK] проходила по городу,Колонна,0.5,волна,2,idk,
человека,пуля пролетела мимо [MASK],.,1,цели,2,idk,
работу,человек прилежно выполнял [MASK],!,1,работу,2,idk,
семьи,жена ушла из [MASK],дома,1,дома,2,idk,
президент,[MASK] одобрил отставку,Президент,1,президент,2,idk,
инерции,ракета летела по [MASK],кругу,0.5,небу,2,idk,
человека,спасатель спас [MASK],.,1,человека,2,idk,
ситуации,человек не знал причины [MASK],.,1,поступка,2,idk,
велосипедистов,правила были введены для [MASK] за счет,экономии,0.5,граждан,2,idk,
исследовании,ученые получили результат в [MASK],лаборатории,1,лаборатории,2,idk,
[UNK],у некоторых из - за болезни появлялся [MASK],.,2,[UNK],2,same,
слова,человек сказал [MASK],.,1,правду,2,idk,
зверь,[MASK] убегал от опасности,Он,1,человек,2,idk,
пожар,[MASK] начался от замыкания,Пожар,1,пожар,2,idk,
людей,[MASK] тошнило,Меня,1,человека,2,idk,
лицу,человек понял намерение по [MASK],телефону,1,голосу,2,idk,
руки,человек с интересом смотрел на [MASK],него,1,картину,2,idk,
небольшим,размер был [MASK],?,1,большим,2,idk,
ребенок,[MASK] чувствовал тошноту,Я,1,человек,2,idk,
участия,человек требовался для [MASK],этого,0.5,работы,2,idk,
самолет,ввс сбили [MASK] в воздушном пространстве,самолет,1,самолет,2,idk,
музыку,человек слушал [MASK],.,1,музыку,2,idk,
[UNK],[MASK] реагирует на ситуацию заслонами,Москва,2,полиция,2,same,
человека,друг пригласил [MASK] в ресторан,меня,1,девушку,2,idk,
закон,парламент утвердил [MASK],.,1,законопроект,2,idk,
мужчина,[MASK] не съел конфету,Чуть,1,человек,2,idk,
цена,[MASK] менялась,Не,0.5,цена,2,idk,
страна,[MASK] договорилась с партнерами,Компания,1,компания,2,idk,
собеседника,человек обманывал [MASK],.,1,себя,2,idk,
человеком,владимир являлся [MASK],.,1,центром,2,idk,
отставку,правительство ушло в [MASK],отставку,1,отставку,2,idk,
жена,[MASK] ушла из семьи,Она,1,девушка,2,idk,
число,[MASK] было маленьким,Оно,1,число,2,idk,
сестра,[MASK] не согласилась с информациеи,Я,1,компания,2,idk,
певец,[MASK] пел басом,Он,1,человек,2,idk,
кошку,человек бросил [MASK],.,2,[UNK],2,idk,
ребенка,сезон открылся для [MASK],всех,0.5,болельщиков,2,idk,
человек,[MASK] сделал выводы из ситуации,Я,1,человек,2,idk,
[UNK],[MASK] увидел что - то красивое,Я,2,человек,2,same,
[UNK],[MASK] простил дворника дворника,Путин,2,человек,2,same,
президент,[MASK] принял предложение,Я,1,человек,2,idk,
оператор,[MASK] экономил боеприпасы,Он,1,противник,2,idk,
опасным,деиствие было [MASK] для безопасности,необходимо,1,необходимо,2,idk,
здание,пожарные потушили [MASK],.,1,огонь,2,idk,
сторона,[MASK] заявила что - то,ЛДПР,1,компания,2,idk,
страна,[MASK] походила на арену,Она,0.5,комната,2,idk,
человек,[MASK] вышел по дороге к берегу,Я,1,человек,2,idk,
ценность,друг взял [MASK] у человека,его,0.5,деньги,2,idk,
ситуации,причина [MASK] оставалась неизвестнои,смерти,1,поступка,2,idk,
человек,[MASK] смог деиствовать,Не,0.5,человек,2,idk,
предателем,украинец посчитал противника [MASK],.,1,опасным,2,idk,
националист,[MASK] не был опасным,Он,1,человек,2,idk,
команде,нападающии помог [MASK] в матче,победить,1,команде,2,idk,
психологи,[MASK] отмечали праздник,Как,1,люди,2,idk,
клиент,[MASK] покупал продукт,Я,1,человек,2,idk,
достижения,в грузии были [MASK],?,1,проблемы,2,idk,
руку,человек приложил [MASK] к сканеру,руку,1,руку,2,idk,
лице,у человека выступил пот на [MASK],лбу,0.5,лице,2,idk,
сборная,[MASK] обыграла команду в хоккеи,Россия,0.5,сборная,2,idk,
большинством,депутаты проголосовали [MASK] против варианта,категорически,1,большинством,2,idk,
[UNK],[MASK] увеличились,Цены,2,продажи,2,same,
разговор,бармен подслушивал [MASK],.,1,разговор,2,idk,
хуже,ситуация становилась для людеи [MASK],.,1,сложной,2,idk,
человек,[MASK] не ушел из дома,Никто,1,человек,2,idk,
сборная,[MASK] проиграла,И,0.5,команда,2,idk,
перечнем,участники рынка руководствуются [MASK] товаров,качеством,1,качеством,2,idk,
мужчина,[MASK] нравился девушке,Он,1,мужчина,2,idk,
система,[MASK] обошлась гражданам в млн,Акция,1,работа,2,idk,
[UNK],работа велась [MASK],.,2,[UNK],2,same,
кандидатом,человек стал [MASK],.,1,другим,2,idk,
поверхность,человек вывел из здания на [MASK],улицу,1,улицу,2,idk,
аэродрома,военныи уходил с [MASK],.,1,позиции,2,idk,
полету,человек готовился к [MASK],выборам,1,встрече,2,idk,
ребенок,[MASK] погиб,Он,2,человек,2,idk,
секрет,человек помнил [MASK],.,2,[UNK],2,idk,
правительство,[MASK] помогало развитию,Это,1,государство,2,idk,
весна,была [MASK],.,1,тишина,2,idk,
самолет,[MASK] загорелся,Он,1,автомобиль,2,idk,
человека,глеб остановил [MASK],.,1,корабль,2,idk,
мир,[MASK] возник,Вопрос,1,пожар,2,idk,
реакцию,решение вызвало у стороны [MASK],недоумение,1,протест,2,idk,
клиентов,компания организовала запуск для [MASK],SpaceX,2,[UNK],2,idk,
пассажиры,[MASK] ждали в поезде,Меня,1,пассажира,2,idk,
люди,[MASK] гибли от болезни,Люди,1,люди,2,idk,
физик,[MASK] завершил расследование с помощью данных,СК,1,следователь,2,idk,
слова,агентство сообщает [MASK],.,2,[UNK],2,idk,
большим,спрос был [MASK],.,1,низким,2,idk,
никто,человеку [MASK] не сказал о соревновании,никто,1,никто,2,idk,
оружия,у [MASK] имелась возможность что - то делать,них,1,человека,2,idk,
дом,преступник ворвался в [MASK],здание,1,здание,2,idk,
[UNK],исключения бывали [MASK],.,2,[UNK],2,same,
армия,[MASK] проиграла воиску,Россия,0,сборная,2,idk,
[UNK],[MASK] мучила жажда,Его,2,человека,2,same,
слова,софия вспомнила [MASK],.,2,[UNK],2,idk,
реке,машина находится в [MASK],гараже,1,городе,2,idk,
победы,сборная добилась [MASK],.,1,успеха,2,idk,
машине,человек въехал на [MASK] в воду,мотоцикле,1,машине,2,idk,
беременна,женщина была [MASK],.,2,[UNK],2,idk,
человек,[MASK] разместил дерево на гербе,Путин,2,[UNK],2,idk,
место,преступник покинул [MASK] преступления,место,1,место,2,idk,
[UNK],история объяснила [MASK],.,2,[UNK],2,same,
суду,стороны пожаловалась [MASK] на кого - то,еще,2,[UNK],2,idk,
оппонентом,человек подрался с [MASK],полицией,2,[UNK],2,idk,
количество,имелось достаточное [MASK],.,1,количество,2,idk,
доброволец,[MASK] вел воину против венесуэлы,Путин,2,[UNK],2,idk,
капли,[MASK] капали из котелка на пол,Они,2,капли,2,idk,
[UNK],девушка показала [MASK] жестом родителям,это,2,[UNK],2,same,
[UNK],[MASK] возникла активность,И,2,[UNK],2,same,
власть,[MASK] врала народу,ЕР,2,власть,2,idk,
дна,пятно поднялось на поверхность со [MASK],дна,2,стороны,2,idk,
истребитель,[MASK] поднимался с авиабазы в воздух для перехвата,Истребитель,2,истребитель,2,idk,
правительство,[MASK] ушло в отставку,Правительство,2,правительство,2,idk,
запрос,авиакомпания ответила лаиф на [MASK],запрос,2,запрос,2,idk,
выборки,погрешность превышала единицу для [MASK],начала,2,[UNK],2,idk,
процесс,[MASK] мешал деиствиям,Не,2,[UNK],2,idk,
ошибку,сергеи обнаружил [MASK],?,2,информацию,2,idk,
силы,[MASK] строили что - то,Хоть,2,люди,2,idk,
зима,[MASK] закончилась,Игра,2,история,2,idk,
волосы,человек поправил [MASK],.,2,[UNK],2,idk,
конструкцию,система представляла [MASK],.,2,опасность,2,idk,
план,осуществление входило в [MASK],.,2,план,2,idk,
место,[MASK] получилось плохим,Начало,2,[UNK],2,idk,
окно,[MASK] засветилось,Не,2,солнце,2,idk,
мужчина,[MASK] зашел в магазин,Я,2,человек,2,idk,
явления,ученыи определил причину [MASK],.,2,явления,2,idk,
корпорации,клиент купил образование у [MASK],РПЦ,2,компании,2,idk,
сборная,[MASK] вернулась в группу,Группа,2,команда,2,idk,
машина,[MASK] ехала,Я,2,машина,2,idk,
животное,[MASK] оскалилось,И,2,лицо,2,idk,
врачи,[MASK] помогли человеку,Вы,2,врачи,2,idk,
человек,[MASK] убил фашиста,Я,2,[UNK],2,idk,
защите,власть задумалась о [MASK],народе,2,[UNK],2,idk,
повреждение,самолет получил [MASK],.,2,повреждения,2,idk,
девушка,[MASK] пела песню,Я,2,девушка,2,idk,
ногой,модель перепутала голову с [MASK],ногами,2,[UNK],2,idk,
наследства,женщина убила сына ударом из - за [MASK],угла,2,[UNK],2,idk,
[UNK],женщина давала деньги [MASK],.,2,ребенку,2,same,
стороной,дождь прошел по прогнозу [MASK],.,2,[UNK],2,idk,
полиции,житель рассказал что - то [MASK],?,2,журналисту,2,idk,
конфликт,[MASK] обострился,Конфликт,2,конфликт,2,idk,
коля,[MASK] пускал робота в дело,Не,2,человек,2,idk,
человек,[MASK] задавал вопрос,Я,2,человек,2,idk,
человек,[MASK] почувствовал возможность,Я,2,человек,2,idk,
места,журналист прислал фото с [MASK] в редакцию через приложение,концерта,2,места,2,idk,
человек,[MASK] заплакал,И,2,человек,2,idk,
боя,глеб уклонился от [MASK],ответа,2,ответа,2,idk,
столе,калачик оказывался на [MASK],полу,2,полу,2,idk,
надежды,результат добавлял людям [MASK],.,2,радости,2,idk,
работа,[MASK] привела к результату,Не,2,работа,2,idk,
преступление,преступник совершил [MASK],.,2,преступление,2,idk,
тренировку,сборная провела [MASK],.,2,матч,2,idk,
эксперимент,ученыи провел [MASK] путем для проверки,проверку,2,эксперимент,2,idk,
идея,у правительства была [MASK],?,2,возможность,2,idk,
[UNK],"женщина считала, что [MASK] совершил преступление",он,2,мужчина,2,same,
решение,[MASK] повлияло на структуру,Это,2,изменение,2,idk,
экзамен,студент получил от преподавателя пятерку за [MASK],сочинение,2,сочинение,2,idk,
органы,[MASK] проводили транспортировку,Они,2,люди,2,idk,
замглавы,[MASK] исключил эдуарда из выборов,ЦИК,2,суд,2,idk,
ботинках,у человека хлюпало в [MASK],носу,2,носу,2,idk,
развития,проект предполагал строительство для [MASK],.,2,обеспечения,2,idk,
открытии,люди участвовали в [MASK],голосовании,2,[UNK],2,idk,
боец,[MASK] участвовал в десанте,Он,2,батальон,2,idk,
наличия,автор ожидал [MASK],.,2,продолжение,2,idk,
женщина,[MASK] впала в кому от осложнения,Женщина,2,женщина,2,idk,
поступком,пользователь возмутился [MASK] кого - то,поведением,2,поведением,2,idk,
грабитель,[MASK] успешно выполнил план,Он,2,отряд,2,idk,
способе,ученыи сообщил о [MASK],смерти,2,находке,2,idk,
девушку,мужчина смутил [MASK],.,2,девушку,2,idk,
слезы,[MASK] текли из глаз по щеке ручьем,Слезы,2,слезы,2,idk,
страха,дама взвизгнула от [MASK],смеха,2,ужаса,2,idk,
старик,[MASK] повторил предложение,И,2,человек,2,idk,
улучшение,организатор рассчитывал на [MASK],это,2,успех,2,idk,
дверь,гость закрыл [MASK],.,2,глаза,2,idk,
ответ,ведомство получило [MASK] со стороны,помощь,2,ответ,2,idk,
президент,[MASK] требовал от коллег сделать что - то,Он,2,человек,2,idk,
военным,брат был [MASK],.,2,[UNK],2,idk,
[UNK],человек говорил [MASK],.,2,правду,2,same,
кандидатуру,россия согласовала [MASK],.,2,[UNK],2,idk,
[UNK],[MASK] готовился к встрече,Он,2,человек,2,same,
[UNK],[MASK] оставил все наследство сыну,Отец,2,человек,2,same,
президент,[MASK] объяснил журналистам причины,Путин,2,эксперт,2,idk,
обвиняемого,суд отправил [MASK] под арест,его,2,обвиняемого,2,idk,
процент,цена увеличилась на [MASK],треть,2,процент,2,idk,
ветке,птица сидела на [MASK],ветке,2,ветке,2,idk,
информацию,представитель подтвердил [MASK] газете по телефону,это,2,информацию,2,idk,
солнце,[MASK] садилось в море,Солнце,2,солнце,2,idk,
костюм,князь надел [MASK],!,2,костюм,2,idk,
решение,человек принял [MASK],.,2,решение,2,idk,
ограничение,[MASK] коснулось евросоюза,Это,2,решение,2,idk,
военный,[MASK] стреляет из пулемета,Он,2,солдат,2,idk,
[UNK],[MASK] влияла на картину,Она,2,ситуация,2,same,
[UNK],произошло [MASK] необычное,нечто,2,[UNK],2,same,
счета,деньги уходили со [MASK],счета,2,счета,2,idk,
реальностью,перспектива стала [MASK],.,2,иной,2,idk,
блокировки,сбои наблюдался из - за [MASK] у клиента,проблем,2,сбоя,2,idk,
воде,рыбка плавала в [MASK],воде,2,воде,2,idk,
хуже,проблема становилась [MASK],.,2,актуальной,2,idk,
нужным,время казалось [MASK] французу,по,2,бесконечным,2,idk,
дороге,гости въезжали по [MASK] в ворота,одному,2,дороге,2,idk,
человек,[MASK] нервничал,Я,2,человек,2,idk,
счастья,человек добивался [MASK],.,2,цели,2,idk,
автор,[MASK] работал над созданием,Долго,2,ученый,2,idk,
город,воиско вошло из страны в [MASK],страну,2,состав,2,idk,
бабушку,человек пропустил [MASK],.,2,момент,2,idk,
информацию,журналисты ищут [MASK],.,2,человека,2,idk,
дозаправки,самолет сел в баку для [MASK],воды,2,дозаправки,2,idk,
[UNK],ситуация была [MASK],.,2,сложной,2,same,
следователь,[MASK] спросил человека о случае,Я,2,[UNK],2,idk,
человек,[MASK] выгуливал собаку,Он,2,человек,2,idk,
человек,[MASK] существовал,Не,2,вариант,2,idk,
человек,[MASK] занимался спортом,Он,2,человек,2,idk,
вода,у человека в ботинках была [MASK],.,2,вода,2,idk,
страха,человек плакал о самооценке от [MASK],бессилия,2,бессилия,2,idk,
тест,[MASK] дал результат,Эксперимент,2,опрос,2,idk,
больница,[MASK] прекратила работу,Она,2,компания,2,idk,
горизонте,облако появилось на [MASK],горизонте,2,горизонте,2,idk,
глаза,иван потер [MASK] ладонями,лицо,2,лицо,2,idk,
пальто,платье подходило по цвету к [MASK],.,2,[UNK],2,idk,
невыносимой,жизнь стала [MASK],.,2,другой,2,idk,
вести,человек пропал без [MASK],вести,2,вести,2,idk,
публикации,ираку требовалось время для [MASK],подготовки,2,подготовки,2,idk,
словах,софия задумалась о [MASK],.,2,[UNK],2,idk,
[UNK],[MASK] чувствовал запах,Я,2,человек,2,same,
[UNK],[MASK] подрался с обидчиком,Он,2,человек,2,same,
человек,[MASK] строит планы,Путин,2,человек,2,idk,
человек,[MASK] воодушевился,Я,2,человек,2,idk,
внук,[MASK] тянул с отъездом,Долго,2,человек,2,idk,
земле,город раскинулся на [MASK],.,2,километры,2,idk,
игре,команда выиграла в [MASK],овертайме,2,матче,2,idk,
мужчина,[MASK] держал лену рукои за пояс,Он,2,человек,2,idk,
человек,[MASK] оправился от волнения,Он,2,человек,2,idk,
армия,[MASK] достигла цели,Она,2,экспедиция,2,idk,
никто,[MASK] не видит человека,Он,2,камера,2,idk,
человека,медведь напал на [MASK],человека,2,человека,2,idk,
японца,проект оказался провальным для [MASK],меня,2,компании,2,idk,
индеец,[MASK] скрылся,Он,2,мужчина,2,idk,
топор,иван замотал [MASK] в полотенце,##ся,2,голову,2,idk,
ночь,была [MASK],.,2,тишина,2,idk,
оружие,капитан использовал [MASK],.,2,[UNK],2,idk,
письмо,никто не обратил внимания на [MASK],это,2,[UNK],2,idk,
отсутствии,данные свидетельствовали об [MASK],обратном,2,увеличении,2,idk,
врачи,[MASK] провели девушке операцию,Врачи,2,врачи,2,idk,
просьбой,министерство обратилось в мид с [MASK],.,2,просьбой,2,idk,
люди,[MASK] не общались,Давно,2,люди,2,idk,
судьи,[MASK] судили спортсменок,Как,2,судьи,2,idk,
языке,человек слышал слова на [MASK],русском,2,языке,2,idk,
человек,[MASK] много значил для женщины,Он,2,человек,2,idk,
хакер,[MASK] получил доступ в систему,Он,2,хакер,2,idk,
человеком,адвокат здоровался с [MASK],адвокатом,2,человеком,2,idk,
рыбка,[MASK] плавала в воде,Я,2,рыба,2,idk,
рта,мужчина пускал дым изо [MASK],рта,2,рта,2,idk,
доказательства,[MASK] подтверждали что - то,Они,2,данные,2,idk,
президент,[MASK] приказал кому - то сделать что - то,Он,2,генерал,2,idk,
местом,музеи стал [MASK] преступления,местом,2,местом,2,idk,
информацию,человек узнал [MASK],.,2,новость,2,idk,
вину,компания искупила свою [MASK],вину,2,вину,2,idk,
силой,самолет упал с [MASK] с высоты в воду,неба,2,обрыва,2,idk,
продукт,компания продавала [MASK],.,2,[UNK],2,idk,
президент,[MASK] выразил мнение,Я,2,человек,2,idk,
вопрос,[MASK] приходил вслед,Он,2,сон,2,idk,
солдат,[MASK] следил за безопасностью,Он,2,человек,2,idk,
миллиард,ущерб превысил [MASK],.,2,миллиард,2,idk,
человека,полиция поместила [MASK] в камеру,его,2,мужчину,2,idk,
человек,[MASK] нервничал,Я,2,человек,2,idk,
вода,[MASK] стояла высоко,Она,2,[UNK],2,idk,
кандидатуру,депутаты поддержали [MASK] большинством,законопроект,2,законопроект,2,idk,
коррозии,у машины тормоз отказал от [MASK],удара,2,удара,2,idk,
человек,[MASK] ловил рыбу,Я,2,человек,2,idk,
клиентов,правительство увеличит что - то для [MASK],народа,2,поддержки,2,idk,
отвращение,говнюк вызывал [MASK],.,2,жалость,2,idk,
человека,проблема касалась [MASK],.,2,[UNK],2,idk,
москве,в [MASK] была хорошая погода,Москве,2,городе,2,idk,
государство,[MASK] платило человеку деньги за службу,Государство,2,государство,2,idk,
суждение,человек вынес [MASK] о чем - то,решение,2,решение,2,idk,
евро,услуга обошлась пассажиру в [MASK],евро,2,руб,2,idk,
человека,родословная шла от [MASK],.,2,корня,2,idk,
человек,[MASK] убивает фашистов,Путин,2,армия,2,idk,
выход,интуиция подсказала боицу [MASK],.,2,решение,2,idk,
режиссер,[MASK] снимал сцену вечером,Я,2,режиссер,2,idk,
сми,[MASK] ожидали роста,Мы,2,люди,2,idk,
игрушкой,мальчик разговаривал с [MASK],мамой,2,собакой,2,idk,
публикацию,ирак закончил [MASK] за время,войну,2,войну,2,idk,
эксперт,[MASK] охарактеризовал ущерб по критериям,Эксперт,2,эксперт,2,idk,
поверхности,причина лежала на [MASK],поверхности,2,поверхности,2,idk,
нужно,людям [MASK] существование,на,2,нужно,2,idk,
девушке,платье подходило [MASK],.,2,девушке,2,idk,
вовремя,сергеи [MASK] спохватился,не,2,##шник,2,idk,
страна,[MASK] столкнулась с наплывом,Москва,2,страна,2,idk,
мокрым,лицо стало [MASK],?,2,серьезным,2,idk,
клиент,[MASK] брал у компании квитанцию для отчетности,Я,2,сотрудник,2,idk,
мужчину,любовь делала [MASK] сильнее,тебя,2,человека,2,idk,
ученик,[MASK] овладевал знаниями,Я,2,человек,2,idk,
гол,нападающии забил [MASK] в матче,гол,2,гол,2,idk,
состоянии,человек был в [MASK],шоке,2,[UNK],2,idk,
отказе,люди спрашивали представителя об [MASK],этом,2,условиях,2,idk,
калитке,люди пели песню о [MASK],любви,2,[UNK],2,idk,
концерт,группа дала [MASK],.,2,концерт,2,idk,
полке,картины находились на [MASK],виду,2,полке,2,idk,
специалист,[MASK] получил прибор,Я,2,человек,2,idk,
год,рабочии завершил ликвидацию за [MASK],год,2,месяц,2,idk,
президента,деньги поступили от [MASK] на счет,меня,2,человека,2,idk,
действительности,заявление соответствовало [MASK],.,2,действительности,2,idk,
человек,[MASK] сбил боица с ног,Жириновский,2,[UNK],2,idk,
человек,[MASK] болел,Я,2,человек,2,idk,
бабушка,[MASK] пользовалась подарком,Не,2,девушка,2,idk,
человек,[MASK] поехал на работу,И,2,человек,2,idk,
усилению,попытка привела к [MASK],катастрофе,2,результату,2,idk,
иск,участник подал [MASK] в суд,иск,2,иск,2,idk,
уязвимость,ученыи искал [MASK],.,2,причину,2,idk,
кушетку,мужчина лег на [MASK],кровать,2,кровать,2,idk,
[UNK],[MASK] захлопала глазами,Я,2,[UNK],2,same,
шорох,[MASK] заставил человека сделать что - то,Ты,2,страх,2,idk,
улыбкой,девушка кивнула головои с [MASK],.,2,улыбкой,2,idk,
человек,[MASK] заработал деньги,Я,2,человек,2,idk,
способ,ученыи нашел [MASK],.,2,причину,2,idk,
домом,семья владеет [MASK],.,2,[UNK],2,idk,
динозавры,[MASK] вымерли,Не,2,птицы,2,idk,
уровне,рубль находится на [MASK],дне,2,уровне,2,idk,
человек,[MASK] понял что - то из слов,не,2,человек,2,idk,
[UNK],президент назначил [MASK] послом,его,2,[UNK],2,same,
шов,врач наложил [MASK] пострадавшему,повязку,2,швы,2,idk,
делу,россиянин перешел от слов к [MASK],делу,2,делу,2,idk,
поп,[MASK] завозился в сенях,Он,2,человек,2,idk,
[UNK],миллион потребовался на создание [MASK],.,2,[UNK],2,same,
предприятие,[MASK] не было способно увеличить,Оно,2,правительство,2,idk,
[UNK],боль мучила [MASK] из - за нагрузки,только,2,[UNK],2,same,
команда,[MASK] победила,Россия,2,команда,2,idk,
время,[MASK] летело,Не,2,время,2,idk,
дело,полиция завела [MASK] на фаната из - за публикации,дело,2,дело,2,idk,
крылья,у женщины были [MASK],?,2,проблемы,2,idk,
человек,[MASK] дал ручку старику,Зюганов,2,человек,2,idk,
бойца,человек сбил [MASK] с ног,меня,2,[UNK],2,idk,
самолет,[MASK] находится вместе,Все,2,пара,2,idk,
близких,человек позаботился о [MASK],безопасности,2,безопасности,2,idk,
больницу,человек позвонил в [MASK],полицию,2,полицию,2,idk,
ракета,[MASK] вывела корабль в космос,Россия,2,ракета,2,idk,
